activation,checkpoint,condition_number,energy_rank_90,energy_rank_95,energy_rank_99,energy_rank_999,energy_rank_9999,energy_top1,energy_top16,energy_top32,energy_top4,energy_top8,frobenius_norm,graft_id,graft_status,matrix_name,rank_full,run_dir,scale,seed,shape,spectral_norm,stable_rank,target
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,1202.065870001543,2,3,15,34,62,0.8947196230316609,0.9916985523648326,0.9988576280267872,0.9655699312138035,0.9789954387886152,1.462340104649073,3,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.011220735497772694,42,"[25889, 96]",1.383221949530777,1.1176685681840843,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,3204295.0677523003,1,1,2,10,20,0.9748712925512525,0.9997684629552394,0.9999927216284441,0.996492184043098,0.9986747050516109,4.024669356801167,3,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.011220735497772694,42,"[96, 96]",3.973780259052679,1.0257764359672397,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,2.021953267635826,86,91,95,96,96,0.03647570987933368,0.20264021209398506,0.3734968919754778,0.0703226965005999,0.11479697775487613,16.646697069650763,4,accepted,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.011337964795529842,42,"[96, 25889]",3.179288600436967,27.415504819731492,blocks.3
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,770.8072394633523,2,5,22,47,76,0.8676856475345871,0.9831635163598829,0.9960283479660181,0.9477079498953993,0.9654883831994748,1.7787375050718548,4,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.011337964795529842,42,"[25889, 96]",1.656887682123012,1.1524911156953748,blocks.3
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,2151937.2363701616,1,1,2,12,27,0.9735818636786523,0.9994805417520675,0.9999550495516383,0.9954096176743231,0.9980166888502444,5.102782073583061,4,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.011337964795529842,42,"[96, 96]",5.034927932836398,1.02713499224557,blocks.3
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,2.1389402549976584,86,91,95,96,96,0.040972255203045496,0.20670606099622674,0.37618941709811526,0.07522944754798636,0.11957996171174196,16.690785618372377,5,accepted,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0032366944942623377,42,"[96, 25889]",3.378482809911444,24.406760014656683,blocks.2
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,515.775455573022,1,2,17,54,83,0.906863543626903,0.989925195576775,0.9963406779651528,0.9705731815296276,0.9814265837751265,2.187691529073505,5,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0032366944942623377,42,"[25889, 96]",2.083325150789679,1.10270173172979,blocks.2
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,100749.54247750259,1,1,2,12,32,0.9801418430018667,0.9994520168941269,0.9999023808080295,0.9970291610335917,0.9984421759315711,6.895384546716574,5,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0032366944942623377,42,"[96, 96]",6.826576418678233,1.0202604930499792,blocks.2
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,1.124127362778806,86,91,95,96,96,0.011711743813596055,0.18198679586419383,0.35711376416775076,0.046416576751343405,0.09213190431951514,16.42955452644678,6,unused_sample,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0010000000474974513,42,"[96, 25889]",1.7780197061193492,85.38438134542434,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,unused_sample,down,0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0010000000474974513,42,"[25889, 96]",0.0,0.0,
